Animal_ID,Species,Age,Gender,Weight_kg,BMI,Medical_Condition,Daily_Caloric_Intake,Protein_Intake,Fat_Intake,Carbohydrate_Intake,Water_Intake,Activity_Level,Metabolic_Rate,Heart_Rate,Respiratory_Rate,Feeding_Frequency
1,Rabbit,7,Male,32.88,235.82,Encephalitozoon,848.4,131.7,126.8,178.8,,Moderate,910.6,115,12,2
2,Cat,2,Male,30.27,66.36,Chronic Kidney Disease,542.1,135,,191.9,1.3,Moderate,,121,25,4
3,Dog,10,Male,6.63,13.95,Allergies,397.8,57.2,86.2,,3.42,Sedentary,,74,22,3
4,Rabbit,9,Female,7.28,15.76,GI Stasis,1536.9,100.7,195.7,229.7,2.9,Sedentary,1455.1,108,,2
5,Cat,8,Female,6.2,14.07,FeLV,643.8,106.6,187.7,146.1,1.64,Active,900.6,102,29,1
6,Dog,12,Female,37.88,87.52,Parvovirus,387.2,83.2,135.2,,1.42,Sedentary,1406.1,61,10,2
7,Dog,13,Male,9.93,,Hip Dysplasia,,93.6,,,4.98,Moderate,1735.9,125,24,2
8,Sheep,3,Male,101.7,383.75,Foot Rot,2196.1,60.2,,299.5,,Moderate,1637.2,130,13,4
9,Dog,5,Male,30.54,99.15,Hip Dysplasia,1417.7,108.9,112.3,,3.98,Moderate,465.6,115,25,1
10,Cat,9,Female,29.87,251.83,FIV,1429.3,134.7,128.1,200.5,3.59,Sedentary,,63,28,2
11,Sheep,13,Male,83.19,284.66,Enterotoxemia,,131.1,,238.8,2.98,Active,447.8,99,27,3
12,Rabbit,12,Male,11.53,26.71,Encephalitozoon,1387.1,124.1,,73.9,,Active,1320.5,80,10,4
13,Dog,20,Female,17.34,97.42,Heartworm,1892.8,31.8,37.5,109.1,1.12,Moderate,1402.6,69,14,2
14,Cat,9,Female,19.13,180,Upper Respiratory Infections,1572,116.9,82.1,,,Active,1490.8,,,1
15,Cat,2,Female,22.59,219.78,Upper Respiratory Infections,,33.1,17.1,,3.08,Moderate,1450.1,102,26,3
16,Horse,4,Male,340.43,142.08,Equine Influenza,1036.3,121.7,141.1,284.7,4.95,Active,,158,25,4
17,Dog,9,Male,16.23,115.66,Lyme Disease,1650.4,55.2,48.4,,2.11,Sedentary,877.6,112,23,2
18,Cow,1,Female,498.79,,Milk Fever,2171.3,,,257.3,1.02,Moderate,1090.8,70,29,4
19,Rabbit,16,Female,33.6,123.26,Uterine Tumors,638.6,111.9,177.8,,,Active,,88,23,2
20,Cat,3,Male,29.51,72.34,Upper Respiratory Infections,2095.6,75.1,123.6,,,Sedentary,634,,16,1
21,Sheep,18,Female,52.86,142.2,Parasites,1313.4,,49.7,,3.97,Active,1126.6,68,25,2
22,Horse,8,Male,724.61,262.01,Equine Influenza,2452.3,130.4,129.7,,1.54,Moderate,1332.9,94,28,1
23,Dog,8,Female,27.09,70.95,Canine Distemper,802.5,61.3,34.3,,,Moderate,1579.9,110,14,1
24,Dog,17,Male,39.81,167.17,Lyme Disease,424.6,49.1,95.1,178.7,2.2,Sedentary,1170.8,85,26,3
25,Rabbit,20,Male,15.31,74.28,Pasteurellosis,569.3,,,201.2,3.16,Moderate,1344.6,129,,1
26,Sheep,18,Female,89.2,183.09,Pregnancy Toxemia,244.1,98.5,69.1,,0.84,Moderate,1593.4,,21,4
27,Dog,3,Male,13.97,47.1,Parvovirus,1040.3,41.4,61.1,38.5,2.91,Sedentary,976.4,141,23,4
28,Sheep,19,Male,67.04,202.7,Foot Rot,936.6,121.3,58.8,66.2,3.96,Moderate,988.6,,11,1
29,Dog,20,Female,6.36,35.83,Parvovirus,1668.3,133.6,101.3,22.3,3.42,Moderate,1562,89,13,3
30,Rabbit,20,Male,,57.71,RHD,574.4,137.5,73.2,278.1,3.49,Moderate,455.8,,28,2
31,Cow,5,Male,392.17,191.16,Mastitis,1949.8,96.2,53.8,106.8,3.15,Moderate,1186.9,101,24,4
32,Cow,13,Female,439.97,138.57,Ketosis,,141.4,48.8,200.7,4.98,Sedentary,932.4,,23,4
33,Cow,14,Male,345.9,167.35,BRD,2215.5,29,157.8,252.3,,Moderate,1369.7,117,14,3
34,Cat,5,Male,18.95,63.5,FeLV,621.4,88.4,26.2,70.5,2.7,Active,1220.7,159,,1
35,Cow,4,Male,607.93,,Mastitis,2034.1,,78.8,,2.58,Active,,130,26,3
36,Cat,19,Female,33.72,,Hyperthyroidism,628.3,147.2,153.3,56.6,1.65,Moderate,1696.8,129,11,2
37,Dog,17,Female,27.95,135.48,Parvovirus,245,22.6,41.1,293.3,2.22,Active,,124,22,2
38,Horse,4,Female,508.97,159.38,Laminitis,334.4,,71.8,222.3,2.89,Sedentary,831.3,,29,1
39,Dog,5,Male,13.35,40.82,Pancreatitis,2075.9,32.9,,218.4,3.39,Active,344.5,108,26,1
40,Sheep,19,Male,71.14,282.07,Foot Rot,1424.9,59.6,152.9,193.1,2.11,Active,,122,19,3
41,Dog,5,Male,15.26,81.96,Pancreatitis,,131.9,158,273.6,2.43,Sedentary,694.7,,29,1
42,Sheep,5,Male,98.96,266.65,Scrapie,1675.4,41.6,113.2,,,Moderate,320.5,87,,3
43,Horse,10,Female,498.33,161.46,Laminitis,1067.6,79.2,,201.5,4.78,Active,1351.5,,,1
44,Rabbit,13,Female,31.37,154.57,Pasteurellosis,2085.4,38.6,46.4,119.9,3.11,Sedentary,1093.2,157,,3
45,Sheep,13,Male,72.42,191.91,Foot Rot,1921.3,147.1,135.4,256.6,2.59,Active,637.2,110,12,1
46,Cat,1,Male,12.83,27.32,FIV,1274.2,20.7,169,26.2,,Active,1400,133,10,2
47,Cow,19,Female,784.65,303.01,Milk Fever,225.4,128.9,42,133.9,5,Active,1310.8,117,10,1
48,Rabbit,10,Male,38.26,88.88,Pasteurellosis,1394.7,140.5,152,,4.98,Active,1240.4,77,15,4
49,Horse,5,Male,787.2,244.45,EHV,1080.7,118.9,133.5,229.8,,Sedentary,,,23,3
50,Sheep,6,Female,115.98,278.69,Foot Rot,1566,61.7,,,0.98,Active,1038.1,81,10,4
51,Dog,1,Female,21.81,45.27,Lyme Disease,569.6,65.6,,,1.86,Active,,66,20,1
52,Rabbit,16,Female,7.64,22.97,RHD,1729.2,14.2,,,3.12,Active,583.7,125,10,3
53,Rabbit,14,Male,12.18,,Uterine Tumors,,37.3,,254.3,3.79,Active,1502.9,133,19,1
54,Cat,2,Female,21.67,54.17,FeLV,2453.8,140.2,16.6,114,,Sedentary,301,156,22,4
55,Rabbit,15,Male,32.46,105.12,Pasteurellosis,2083.5,111.9,151.2,,2.58,Moderate,553.6,131,15,3
56,Cat,2,Male,17.19,67.25,Hyperthyroidism,,87.1,183.2,241.8,,Active,1686.6,,17,1
57,Cow,10,Female,684.46,336.36,BRD,1451.5,148.6,75.8,83.9,4.61,Sedentary,,109,25,1
58,Dog,16,Male,10.32,81.66,Canine Distemper,1246.3,116.5,116.4,57.9,0.89,Sedentary,488.4,129,17,1
59,Cat,19,Male,,47.58,Upper Respiratory Infections,2064.2,96,86.8,,4.92,Sedentary,358.9,,20,3
60,Horse,14,Female,465.05,199.03,Strangles,1901.4,82.5,65.5,148.8,4.73,Sedentary,769.7,61,14,3
61,Dog,4,Female,33.22,92.49,Canine Distemper,880.7,75.2,170,26.5,2.69,Active,1072.5,,27,1
62,Dog,14,Female,10.17,81.52,Heartworm,1038,,20.3,,1.58,Moderate,1610.3,90,26,3
63,Sheep,5,Male,54.58,145.34,Pregnancy Toxemia,338.4,77.6,46.4,,1.92,Sedentary,408.6,136,24,3
64,Dog,9,Male,22.45,200.28,Heartworm,,71,,121.2,1.4,Sedentary,1528.7,136,12,4
65,Sheep,2,Male,59.55,41.41,Parasites,,,182.6,259.8,4.63,Active,,138,14,4
66,Horse,9,Female,340.12,131.25,Equine Influenza,1163.6,99.3,160.8,,3.38,Sedentary,483,,11,4
67,Rabbit,17,Male,22.18,15.9725,RHD,2375.1,14.3,151.5,,2.12,Sedentary,603.5,130,20,1
68,Sheep,4,Female,74.03,204.61,Caseous Lymphadenitis,515.6,45.6,196,174.8,1.62,Active,1363.5,87,19,2
69,Cow,3,Female,325.91,138.39,Johnes,2249,83.6,33.7,51.3,0.75,Sedentary,1779,122,,2
70,Rabbit,17,Female,9.08,37.93,RHD,,53.3,,,,Sedentary,346.5,,25,1
71,Cat,12,Male,18.27,40.63,Dental Disease,2300.5,,,293.9,1.53,Moderate,,64,23,3
72,Dog,5,Female,,104.57,Allergies,902.8,43.1,139.9,,0.55,Moderate,872.9,75,24,2
73,Rabbit,6,Male,,105.66,Encephalitozoon,452.5,130.2,,,,Moderate,1255,118,16,4
74,Cow,6,Male,769.92,282.42,Johnes,2475.3,25.6,150.4,65.5,1.7,Active,537.8,123,11,2
75,Cow,1,Male,653.49,223.12,Ketosis,1912.4,40.9,91.9,,,Moderate,341,63,27,1
76,Dog,13,Male,9.46,,Lyme Disease,1419.5,74.8,167.4,169.3,2.13,Active,1261.5,118,19,4
77,Sheep,11,Female,87.92,198.57,Scrapie,1105.5,,,133.1,0.54,Sedentary,1439.1,155,19,4
78,Cow,18,Male,605.73,305.89,Ketosis,786.7,104,133.5,,3.75,Sedentary,470.6,93,11,1
79,Horse,9,Male,512.07,178.32,EHV,1574.2,108.9,18.8,84.6,,Moderate,1308.1,114,26,3
80,Horse,1,Male,734.95,284.42,Laminitis,1232.5,101.9,35,,0.65,Moderate,,137,17,1
81,Rabbit,20,Male,23.81,53.37,Dental Disease,1364.9,,106,137.5,4.55,Sedentary,493.6,62,13,2
82,Sheep,7,Female,53.24,207.28,Foot Rot,1262.4,72.9,46.5,34.1,2.98,Active,,120,19,4
83,Sheep,9,Female,51.89,152.72,Pregnancy Toxemia,1677.3,72.5,109.3,258.7,4.55,Moderate,1790.7,77,12,2
84,Cow,13,Male,488.86,162.47,Bloat,2325,22.4,143.1,79.1,2.43,Moderate,972.7,67,25,4
85,Cow,19,Female,377.62,174.09,Foot-and-Mouth,2391.5,10.4,131.2,,0.99,Sedentary,1148.8,123,12,1
86,Cow,18,Male,733.5,300.17,Bloat,2120.7,129.6,,185.5,1.57,Moderate,1336.6,,21,4
87,Rabbit,19,Male,27.85,178.23,Uterine Tumors,817.4,11.5,57.9,203.7,3.87,Sedentary,1219.6,,,3
88,Horse,14,Female,446.57,,Strangles,770,136.9,190.2,295.7,4.93,Moderate,1553.6,113,,1
89,Cow,2,Male,755.31,277.47,Bloat,1526.9,39.3,87.1,,1.53,Active,1581.5,107,10,2
90,Cat,2,Male,35.14,233.66,Dental Disease,2441.6,88.5,23.6,102.6,2.05,Sedentary,344.6,108,21,2
