Medical_Condition_Upper Respiratory Infections,Medical_Condition_Milk Fever,Medical_Condition_Hip Dysplasia,BMI,Medical_Condition_Parasites,Medical_Condition_Foot Rot,Medical_Condition_Encephalitozoon,Medical_Condition_RHD,Medical_Condition_Canine Distemper,Weight_kg,Medical_Condition_Lyme Disease,Medical_Condition_Pasteurellosis,Medical_Condition_Caseous Lymphadenitis,Medical_Condition_Mastitis,Medical_Condition_Ketosis,Medical_Condition_FLUTD,Medical_Condition_Strangles,Medical_Condition_Heartworm,Species_Horse,Medical_Condition_Pancreatitis,Medical_Condition_GI Stasis,Medical_Condition_Hyperthyroidism,Medical_Condition_Chronic Kidney Disease,Medical_Condition_Parvovirus,Medical_Condition_Bloat,Medical_Condition_Equine Influenza,Medical_Condition_Scrapie,Species_Cow,Medical_Condition_Enterotoxemia,Medical_Condition_Myxomatosis,Species_Rabbit,Medical_Condition_Uterine Tumors,Medical_Condition_Pregnancy Toxemia,Species_Sheep,Medical_Condition_Dental Disease,Species_Dog,Medical_Condition_PPID,True Label,Predicted Label
False,False,False,0.6191339927867884,False,False,False,False,False,0.7473016831458976,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3541011958745492,False,False,False,False,False,0.5504692178026014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.315799464281948,False,False,False,False,False,0.8173447052607743,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3412987999071984,False,False,False,False,False,0.5005031826301356,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3622002404403855,False,False,False,False,False,0.5996553198983571,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.6400776158437559,False,False,False,False,False,0.8726444763126776,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.4977537806086938,False,False,False,False,False,0.8002868140991771,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.6757429397000821,False,False,False,False,False,0.9631418723425668,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5826461097167444,False,False,False,False,False,0.966311922912421,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.7048699723704469,False,False,False,False,False,0.8798903061866304,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
